RIDGE,NUB,CRACK,WEIGHT,DENSITY,binaryClass
-2.35,3.63,5.03,10.87,-1.38,P
-1.15,1.48,3.24,-0.59,2.12,P
-2.52,-6.86,-2.8,8.46,-3.41,P
5.75,-6.51,-5.15,4.35,-10.33,P
8.75,-3.9,-1.38,-14.88,-2.42,P
10.43,-3.16,12.79,-14.85,-6.49,P
-3.6,4.61,6.55,5.98,4.04,P
-5.64,-0.82,-3.81,1.17,7.05,P
9.54,4.09,2.75,-18.9,-0.07,P
-9.03,2.97,3.68,13.88,4.21,P
3.17,-3.02,-2.66,-0.88,-2.78,P
-4.61,4.27,-6.06,14.14,-2.82,P
-9.01,-2.56,4.57,15.31,3.76,P
20.63,2.04,-7.04,-30.57,-5.35,P
3.89,0.31,6.67,-3.57,-1.46,P
0.52,-2.91,-1.9,1.34,-3.38,P
2.01,-1.41,10.07,5.11,-5.83,P
-4.84,8.3,-9.48,1.09,6.39,P
-0.49,5.6,5.83,-1.88,2.69,P
6.8,2.0,-6.88,-16.6,1.25,P
-2.44,3.7,-5.88,-0.7,2.43,P
14.46,3.14,-17.21,-19.83,-1.88,P
8.74,1.53,-0.44,-15.04,-2.38,P
4.75,0.06,7.61,-4.2,-1.85,P
1.25,11.94,5.62,-10.22,7.74,P
8.76,1.24,-4.32,-14.48,1.23,P
-11.85,-5.76,-3.78,14.88,5.53,P
-7.21,-3.83,7.26,11.7,0.96,P
6.23,-9.32,0.35,-3.79,-5.72,P
9.16,-3.7,0.63,-10.83,-4.83,P
2.69,-4.13,-1.3,-3.42,0.2,P
10.07,6.62,-8.62,-15.81,-1.71,P
-1.71,0.66,-9.52,-2.7,2.0,P
-1.08,-0.75,-8.29,2.85,-1.41,P
-1.3,-7.58,-15.04,0.23,1.94,P
-5.3,-1.45,9.37,2.64,1.9,P
-5.28,1.27,4.57,9.91,1.19,P
9.72,-6.37,-11.54,-20.05,-1.2,P
2.85,2.25,12.18,-4.55,-0.73,P
4.97,13.78,9.34,-6.66,1.41,P
5.52,4.49,5.9,-8.43,-1.38,P
-9.03,4.56,9.84,16.15,1.77,P
4.14,7.35,11.48,-9.53,-2.17,P
1.0,3.5,-11.36,-1.02,0.73,P
-8.73,-1.42,10.63,16.11,0.59,P
21.41,2.43,-7.03,-34.03,-6.93,P
