Sex,Length,Height,Whole.weight,binaryClass
M,0.455,0.095,0.514,N
M,0.35,0.09,0.2255,P
F,0.53,0.135,0.677,P
M,0.44,0.125,0.516,N
I,0.33,0.08,0.205,P
I,0.425,0.095,0.3515,P
F,0.53,0.15,0.7775,N
F,0.545,0.125,0.768,N
M,0.475,0.125,0.5095,P
F,0.55,0.15,0.8945,N
F,0.525,0.14,0.6065,N
M,0.43,0.11,0.406,N
M,0.49,0.135,0.5415,N
F,0.535,0.145,0.6845,N
F,0.47,0.1,0.4755,N
M,0.5,0.13,0.6645,N
I,0.355,0.085,0.2905,P
F,0.44,0.1,0.451,N
M,0.365,0.08,0.2555,P
M,0.45,0.1,0.381,P
M,0.355,0.095,0.2455,N
I,0.38,0.1,0.2255,N
F,0.565,0.155,0.9395,N
F,0.55,0.135,0.7635,P
F,0.615,0.165,1.1615,N
F,0.56,0.14,0.9285,N
F,0.58,0.185,0.9955,N
M,0.59,0.14,0.931,N
M,0.605,0.18,0.9365,N
M,0.575,0.14,0.8635,N
M,0.58,0.165,0.9975,N
F,0.68,0.165,1.639,N
M,0.665,0.165,1.338,N
F,0.68,0.175,1.798,N
F,0.705,0.2,1.7095,N
M,0.465,0.105,0.4795,P
F,0.54,0.155,1.217,N
F,0.45,0.105,0.5225,P
F,0.575,0.135,0.883,N
M,0.355,0.09,0.3275,P
F,0.45,0.105,0.425,P
F,0.55,0.135,0.8515,N
I,0.24,0.045,0.07,P
I,0.205,0.055,0.042,P
I,0.21,0.05,0.042,P
I,0.39,0.095,0.203,P
M,0.47,0.12,0.5795,P
F,0.46,0.12,0.4605,P
I,0.325,0.07,0.161,P
F,0.525,0.16,0.8355,P
I,0.52,0.12,0.595,P
M,0.4,0.095,0.303,P
M,0.485,0.13,0.5415,N
F,0.47,0.12,0.4775,N
M,0.405,0.1,0.385,P
F,0.5,0.14,0.6615,P
M,0.445,0.12,0.4425,P
M,0.47,0.135,0.5895,P
I,0.245,0.06,0.086,P
F,0.505,0.125,0.583,P
M,0.45,0.105,0.4115,P
M,0.505,0.11,0.625,P
F,0.53,0.13,0.6965,N
M,0.425,0.095,0.3785,P
M,0.52,0.12,0.58,P
M,0.475,0.12,0.48,P
F,0.565,0.16,0.915,N
F,0.595,0.185,1.285,N
F,0.475,0.12,0.5305,N
I,0.31,0.07,0.151,P
M,0.555,0.13,0.7665,N
F,0.4,0.11,0.353,P
F,0.595,0.17,1.247,N
M,0.57,0.175,1.185,N
F,0.605,0.195,1.098,N
F,0.6,0.15,1.0075,N
M,0.595,0.14,0.944,P
F,0.6,0.15,0.922,N
F,0.555,0.14,0.788,N
F,0.615,0.17,1.1025,N
F,0.575,0.14,0.941,P
M,0.62,0.175,1.615,N
F,0.52,0.165,0.9885,N
M,0.595,0.16,1.3175,N
M,0.58,0.14,1.013,N
F,0.57,0.18,1.295,N
M,0.625,0.14,1.195,N
M,0.56,0.16,0.8645,N
F,0.46,0.13,0.517,P
F,0.575,0.16,0.9775,N
M,0.565,0.135,0.8115,N
M,0.555,0.15,0.755,N
M,0.595,0.175,1.115,N
F,0.625,0.165,1.262,N
M,0.695,0.19,1.494,N
M,0.665,0.195,1.606,N
M,0.535,0.15,0.725,P
M,0.47,0.13,0.523,P
M,0.47,0.13,0.5225,P
F,0.475,0.125,0.5785,N
I,0.36,0.095,0.2315,P
