GLCM_Pan,Mean_G,Mean_NIR,SD_Plan,class
120.36,205.5,416.58,20.68,2
124.74,202.8,354.33,16.71,2
134.69,199.29,477.86,22.5,2
127.95,178.37,278.47,14.98,2
135.43,197.0,532.95,17.6,2
118.35,226.15,608.9,29.07,2
135.44,184.5,309.19,13.06,2
121.17,226.0,595.57,22.81,2
131.13,232.78,563.84,11.95,2
134.5,210.21,594.85,27.94,2
131.16,206.68,483.05,22.9,2
136.1,201.4,444.6,16.55,2
122.63,230.56,473.71,24.52,2
113.66,213.11,480.86,29.24,2
133.89,191.62,419.51,17.49,2
131.11,213.67,537.89,19.43,2
127.84,201.36,372.13,23.93,2
121.61,199.74,338.13,15.02,2
106.24,221.75,381.17,18.9,2
147.77,220.11,479.17,23.34,2
135.82,192.23,332.42,12.81,2
134.96,226.67,435.96,17.61,2
128.53,188.98,296.62,16.93,2
143.53,170.36,400.0,10.83,2
141.11,164.62,242.5,6.75,2
140.03,189.9,561.31,23.84,2
132.59,222.39,579.22,19.83,2
121.76,174.0,217.78,14.06,2
135.68,199.75,453.33,16.18,2
119.46,180.74,227.77,12.29,2
124.59,179.42,208.08,20.35,2
126.53,178.78,359.78,11.08,2
135.02,190.88,270.65,14.33,2
142.57,183.42,240.26,11.3,2
124.61,180.83,242.61,9.8,2
130.85,175.33,342.28,21.17,2
133.85,166.41,254.37,14.18,2
119.72,231.83,591.02,25.39,2
123.28,218.26,600.22,29.9,2
117.64,215.56,504.08,22.19,2
138.51,202.04,445.92,20.08,2
118.58,198.57,429.14,33.42,2
134.06,183.46,236.68,18.0,2
117.65,236.49,541.54,18.51,2
135.28,234.65,587.0,22.07,2
123.3,207.75,436.09,18.28,2
128.1,199.2,403.33,21.41,2
119.64,200.65,312.52,21.87,2
119.51,224.24,592.24,27.41,2
132.28,213.51,503.63,26.67,2
123.75,222.02,510.04,21.59,2
124.0,221.67,493.41,24.44,2
130.01,184.87,319.78,21.73,2
122.8,202.34,322.29,15.84,2
132.4,201.31,373.81,23.22,2
127.81,202.71,415.8,27.26,2
122.16,195.15,323.98,28.95,2
126.43,206.42,403.06,23.37,2
128.37,211.35,411.3,24.84,2
126.74,203.39,390.82,20.64,2
128.58,200.87,436.56,24.03,2
136.36,210.31,462.57,21.61,2
128.97,202.62,427.5,21.3,2
131.6,209.56,566.01,36.44,2
122.66,218.27,498.63,26.65,2
132.46,198.87,323.06,18.66,2
129.21,188.69,327.72,19.0,2
124.59,197.32,398.85,18.68,2
