V1,V2,V3,V4,V5,Class
0.49,-0.452,-1.048,-0.599,-0.02,1
-0.641,0.109,0.292,-0.917,0.24,1
0.871,-0.46,0.578,0.807,0.835,1
-0.628,-0.316,1.934,-1.427,-0.137,1
-0.596,0.016,2.043,-1.688,-0.948,1
0.165,-0.643,-0.981,-0.386,-0.242,1
2.471,-0.707,0.787,-0.916,-0.351,1
-0.487,-0.117,1.404,-1.366,-0.672,1
-0.687,0.575,-0.142,-0.175,-0.137,1
-0.601,-0.764,-0.314,1.291,-1.546,2
-0.583,-0.526,0.058,0.53,1.358,2
-0.191,-0.241,0.656,-1.409,2.939,2
-0.832,-0.803,-0.456,0.542,-0.137,2
-0.324,1.041,-1.433,-0.786,-0.381,2
0.682,0.32,-0.312,1.509,-0.874,1
-0.334,0.827,-1.21,-0.261,-0.349,1
-0.828,-0.933,0.581,0.856,-0.743,1
-0.014,1.137,-1.427,-0.783,0.143,1
0.257,1.189,1.01,-0.964,-0.428,2
-0.586,0.118,1.32,-1.284,0.726,1
-0.796,-0.614,1.169,0.847,-0.874,1
-0.333,1.554,-1.47,-0.786,-0.351,1
-0.778,-0.725,0.745,1.107,-1.381,2
-0.333,1.034,-0.147,-0.197,-0.31,1
-0.255,0.172,1.851,-1.38,-0.61,2
-0.14,1.218,-0.102,0.005,-0.815,1
-0.233,1.151,-1.277,-0.732,-0.354,1
-0.824,-1.128,-0.39,0.371,-0.137,1
-0.199,1.434,0.323,-0.899,-0.137,1
0.99,1.137,-0.237,-0.213,-0.378,1
-0.469,0.506,-0.009,-0.817,-0.389,1
-0.884,-1.214,-0.697,-0.169,1.447,1
-0.381,1.581,-1.468,-0.108,-0.391,1
-0.084,-0.27,0.628,-1.754,2.855,2
0.574,1.566,0.118,0.169,-0.441,1
-0.813,-1.114,-0.191,1.983,-1.269,1
-0.225,1.244,0.001,0.015,-0.666,1
2.401,-0.426,-0.291,0.096,-0.333,1
0.164,-0.198,-0.272,0.898,1.131,2
-0.395,0.286,1.87,-1.369,0.563,2
2.989,-1.833,-0.679,-0.599,-0.233,1
0.314,0.193,-1.245,-0.655,0.019,1
-0.64,-0.352,0.996,1.64,-0.137,1
2.04,-1.755,-0.61,-0.328,-0.367,1
0.108,1.205,-1.312,-0.701,-0.308,1
-0.335,0.994,-1.255,-0.753,-0.315,1
-0.808,-0.835,0.033,0.548,-0.137,2
0.064,2.081,-1.362,-0.195,0.696,1
-0.533,-0.67,0.808,0.376,0.768,2
-0.412,1.199,1.146,0.477,-0.577,1
-0.774,-0.876,-0.297,-1.285,-0.137,1
-0.592,0.276,-0.37,-0.119,-0.333,1
1.04,0.593,-0.421,0.14,0.888,1
0.274,-0.087,-0.51,-0.272,-0.382,1
-0.282,2.455,-1.498,-0.809,-0.137,1
-0.644,-0.643,0.257,0.928,0.794,2
-0.635,0.892,1.084,0.374,-0.137,1
-0.461,0.614,-1.579,0.116,1.785,1
-0.831,-0.781,-0.474,-1.515,-0.137,2
2.638,-0.561,-1.006,-0.611,-0.242,1
0.001,0.969,-0.295,-0.146,-0.467,1
-0.414,0.627,1.525,-1.15,-0.705,1
0.319,0.509,-0.345,-0.893,2.657,1
-0.098,-0.719,0.672,0.198,0.647,2
-1.039,-1.772,-1.307,1.432,-2.193,2
-0.642,1.064,0.244,0.291,-0.137,1
-0.79,-0.727,0.17,1.884,-0.137,2
-0.392,-0.401,0.725,-1.549,-1.461,2
0.406,1.055,-1.138,-0.653,0.053,1
-0.762,-0.268,1.277,-1.184,-0.532,1
0.172,1.135,-1.141,-0.682,-0.322,1
0.918,1.237,-1.238,-0.222,0.147,1
0.044,0.724,0.455,-0.041,-0.137,1
-0.657,2.217,-1.374,1.098,-0.806,1
-0.306,2.576,-1.471,-0.808,-0.403,1
