a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,binaryClass
-0.1021,-0.194,-0.3853,0.257,7.1889,15.1282,0.6716,8,N
0.3736,-0.4256,0.2895,0.2342,2.0286,2.8562,0.5696,5,P
0.3854,0.1083,-0.049,-0.1476,4.0732,3.6162,0.1269,6,N
0.3162,-0.1343,0.08,0.0363,0.3603,1.0697,0.8077,8,P
0.0071,0.2957,0.0075,-0.4566,0.072,0.9686,0.1885,7,P
0.3661,0.3636,-0.2006,0.1766,9.9357,1.8603,0.8145,6,N
-0.0931,-0.39,0.0462,-0.4466,1.7325,4.0203,0.8429,6,P
0.3395,0.4818,0.384,-0.2969,1.4807,5.0892,0.3389,5,N
0.1011,-0.0451,-0.1598,0.2648,4.4206,0.7442,0.7294,7,P
0.3501,0.0839,0.1492,-0.3628,0.0276,1.0791,0.7111,8,P
-0.0194,0.45,0.3125,0.2053,9.3411,0.6702,0.6383,5,N
-0.1857,-0.1519,0.2194,0.4658,7.0033,6.8661,0.7766,8,N
-0.2043,0.1783,0.42,0.4953,4.2557,3.2167,0.4062,8,N
-0.3827,0.2458,-0.0774,-0.1313,4.2473,5.3318,0.6368,6,N
-0.2834,0.4523,0.4842,-0.1685,1.9259,0.0402,0.3912,7,P
-0.048,-0.2231,-0.2505,-0.39,0.3629,0.1635,0.624,6,P
0.1978,0.2178,0.4274,-0.2602,2.4966,2.1589,0.6681,6,P
-0.1673,-0.4997,0.1369,0.0702,2.4367,0.3767,0.7021,5,P
0.3668,-0.342,0.321,-0.2592,9.1677,8.5932,0.2477,7,N
0.334,-0.4724,-0.1297,0.3389,2.1649,8.3135,0.6401,8,N
0.3906,-0.061,-0.4773,-0.0735,9.258,14.806,0.7158,8,N
0.105,0.4269,0.0967,0.0197,0.2504,3.1664,0.6813,7,P
-0.147,-0.3073,0.4805,-0.3361,3.9865,2.9954,0.7425,7,P
0.4191,-0.0966,-0.4931,0.4082,0.2184,9.4244,0.4716,7,N
0.3038,0.4482,0.2787,0.4885,0.0736,6.2022,0.8676,7,P
-0.1582,-0.1457,-0.0335,-0.4577,3.5936,2.5,0.3941,7,N
0.004,0.4146,0.4682,0.0846,1.2919,1.1946,0.2962,7,P
-0.3549,0.0889,0.2437,-0.1833,6.5907,0.8712,0.5419,6,N
-0.1038,-0.0606,-0.0285,-0.482,1.1969,0.051,0.4142,5,P
0.4283,0.2474,0.1901,-0.0231,0.5415,1.7554,0.6713,8,P
-0.1553,0.1264,0.3976,-0.0883,5.5138,10.1224,0.3703,7,N
-0.4772,-0.4768,0.078,0.33,0.333,7.4249,0.7801,8,N
-0.1481,-0.1105,-0.355,0.3557,1.3007,0.2932,0.5169,7,P
0.0427,0.168,-0.3289,0.3308,0.4607,0.8134,0.8565,5,P
-0.2549,0.377,0.4523,0.1948,4.9709,2.5599,0.4748,5,N
0.3984,-0.3095,0.4983,0.1981,2.8202,3.9504,0.4861,7,N
0.1219,-0.1789,0.1723,-0.4626,2.2846,2.6407,0.2079,7,P
0.3765,-0.0594,0.3093,0.3423,4.1482,6.1127,0.8943,7,N
0.4765,0.414,0.2619,0.2921,0.6193,0.1616,0.1587,8,P
-0.2822,-0.2622,0.073,0.1381,2.4516,1.1758,0.8816,5,P
-0.1591,0.0916,-0.186,-0.2996,1.7369,4.9562,0.7821,8,N
-0.4207,-0.3543,-0.0507,-0.3792,0.2005,0.0155,0.8003,8,P
-0.4908,0.495,-0.2994,-0.1395,1.6448,4.8772,0.6562,6,N
0.0578,-0.2717,-0.3847,-0.4111,0.2841,2.276,0.6785,6,P
0.0766,-0.4088,-0.2767,-0.2915,7.2023,2.2701,0.4468,8,N
-0.429,-0.2933,0.4086,0.1588,4.8125,2.0288,0.374,5,N
0.1966,0.0644,-0.4774,-0.14,5.0693,0.4673,0.2822,7,N
-0.4588,0.0363,-0.0743,0.2485,5.1863,2.3821,0.5932,6,N
0.3183,-0.219,0.3501,-0.4424,2.9735,1.8445,0.6425,7,P
0.4051,-0.4185,0.2443,-0.1918,0.9053,0.9621,0.9357,8,P
0.3335,-0.1024,-0.329,0.0794,1.3606,3.3202,0.5533,6,P
0.4422,0.2663,-0.3544,-0.2104,0.3027,0.3017,0.7838,8,P
-0.3393,-0.0689,0.3696,-0.4358,8.2059,3.1759,0.7116,8,N
0.1043,-0.0419,-0.2714,-0.3538,1.2189,7.9144,0.7967,6,N
-0.153,0.3319,-0.1832,-0.313,2.6274,2.6931,0.5632,5,P
0.4887,-0.0825,-0.0999,-0.2778,2.81,6.6293,0.4354,8,N
-0.3982,0.1314,0.2884,0.0209,0.7236,1.4388,0.7092,8,P
