V1,V2,V3,V4,Class
3.62,8.67,-2.81,-0.45,1
4.55,8.17,-2.46,-1.46,1
3.87,-2.64,1.92,0.11,1
3.46,9.52,-4.01,-3.59,1
0.33,-4.46,4.57,-0.99,1
4.37,9.67,-3.96,-3.16,1
3.59,3.01,0.73,0.56,1
2.09,-6.81,8.46,-0.6,1
3.2,5.76,-0.75,-0.61,1
1.54,9.18,-2.27,-0.74,1
1.23,8.78,-2.21,-0.81,1
3.99,-2.71,2.4,0.86,1
1.9,7.66,0.15,-3.11,1
-1.58,10.84,2.55,-2.94,1
3.4,8.73,-2.99,-0.57,1
4.68,-3.39,3.49,1.48,1
2.67,3.06,0.37,0.59,1
0.8,2.85,4.34,0.6,1
1.45,-4.88,8.34,-2.11,1
5.24,11.03,-4.35,-4.1,1
5.79,7.89,-2.62,-0.49,1
0.33,-4.46,4.57,-0.99,1
3.94,10.16,-3.82,-4.02,1
0.94,8.89,-1.68,-1.66,1
4.43,9.89,-4.68,-3.75,1
0.71,-5.5,8.34,-2.87,1
1.14,-3.74,5.58,-0.64,1
-0.38,8.39,2.16,-3.74,1
6.56,9.82,-4.41,-3.23,1
4.89,-3.36,3.42,1.09,1
-0.25,-0.18,4.91,0.15,1
1.49,3.63,3.31,0.49,1
4.3,7.62,-2.39,-0.96,1
-0.96,9.41,1.73,-4.86,1
-1.62,0.81,8.16,0.61,1
2.44,6.44,-0.81,-0.69,1
2.69,6.02,-0.47,-0.69,1
3.63,0.81,1.63,0.78,1
4.57,3.19,-2.11,0.3,1
3.48,9.7,-3.75,-3.44,1
4.17,8.72,-3.02,-0.6,1
-0.21,9.22,-3.7,-6.81,1
-0.01,9.29,-0.41,-1.96,1
0.96,5.84,2.32,0.07,1
2.86,6.92,-0.79,0.48,1
-0.79,9.57,-3.79,-7.5,1
2.08,6.63,0.48,-2.21,1
-0.79,9.57,-3.79,-7.5,1
3.91,6.06,-2.45,-0.68,1
1.64,3.29,2.88,0.09,1
4.32,-4.88,3.44,-0.58,1
5.26,3.98,-1.56,1.01,1
3.14,5.82,-0.51,-1.49,1
2.55,6.15,-1.16,-1.24,1
4.93,5.5,-2.48,-0.51,1
4.83,0.8,1.64,1.19,1
2.56,6.78,-0.62,0.39,1
5.81,5.01,-2.24,0.44,1
3.14,-4.11,4.57,0.99,1
-0.78,11.36,-0.38,-7.05,1
2.89,0.45,4.59,-0.24,1
0.5,5.53,1.78,-0.47,1
4.26,11.3,-4.09,-4.35,1
1.79,-1.12,1.54,-0.26,1
5.4,3.1,-1.15,1.56,1
2.54,2.6,2.09,0.2,1
4.61,-4.08,2.76,0.32,1
2.42,9.53,-3.08,-2.78,1
1.0,7.78,-0.28,-2.66,1
0.12,8.98,-0.94,-2.43,1
3.95,-2.36,2.38,0.48,1
4.14,0.49,1.09,1.83,1
4.72,10.02,-3.95,-3.86,1
4.16,-3.45,3.64,1.09,1
4.41,10.91,-4.58,-4.43,1
2.31,3.54,0.58,0.42,1
3.79,7.98,-2.55,-1.87,1
0.05,6.14,1.78,-0.72,1
0.25,7.64,0.99,-0.87,1
1.13,3.96,3.4,0.84,1
2.8,9.09,-3.37,-1.02,1
4.47,2.29,0.96,0.83,1
5.02,8.6,-2.94,-1.28,1
1.87,7.78,-0.24,-2.96,1
3.24,6.63,-0.63,0.87,1
4.03,2.68,0.81,0.72,1
-1.13,1.9,7.53,1.02,1
0.88,6.81,0.84,-0.17,1
4.12,-2.8,2.07,0.67,1
3.8,0.82,2.1,1.02,1
1.48,7.64,-2.79,-1.03,1
4.06,3.58,0.72,0.4,1
4.31,8.21,-2.78,-1.43,1
2.45,-6.32,7.96,0.21,1
3.27,1.78,2.12,0.61,1
-0.64,-4.61,8.35,-2.71,1
2.95,1.08,0.65,0.89,1
2.16,-6.88,8.15,-0.08,1
3.82,10.93,-4.01,-5.03,1
-2.74,11.4,2.54,-5.58,1
3.37,-5.19,3.69,-1.14,1
4.56,-2.42,2.64,1.62,1
5.11,-0.5,0.63,1.12,1
3.34,-4.61,3.98,-0.24,1
4.2,0.23,0.96,0.97,1
3.54,1.24,2.0,2.15,1
2.31,10.66,-3.53,-4.77,1
-1.86,7.89,-1.66,-1.84,1
3.11,9.54,-4.25,-4.0,1
2.92,10.83,-3.34,-4.12,1
3.99,-4.47,3.73,-0.11,1
1.52,5.7,0.1,-0.03,1
3.24,9.65,-3.21,-2.6,1
4.22,6.82,-1.28,0.76,1
1.78,6.92,-1.27,-1.58,1
2.53,2.91,-0.82,-0.12,1
3.9,7.42,-1.82,0.14,1
2.11,6.8,-0.17,0.49,1
2.9,0.71,2.29,1.87,1
0.93,-3.8,4.64,-0.3,1
3.46,10.69,-3.41,-4.11,1
4.07,10.4,-4.17,-4.76,1
