att1,att2,att3,att4,att5,binaryClass
1,0,0,133.150861,1.311693,P
1,0,0,126.724861,1.302745,P
1,0,0,131.173861,1.319031,P
1,0,0,129.478861,1.270878,P
1,0,0,127.262861,1.329637,P
1,0,0,131.058861,1.310403,P
1,0,0,138.442861,1.379906,P
1,0,0,129.346861,1.305646,P
1,0,0,139.542861,1.374661,P
1,0,0,132.628861,1.374434,P
1,0,0,128.684861,1.319394,P
1,0,0,129.346861,1.210899,P
1,0,0,141.072861,1.336216,P
1,0,0,130.810861,1.248912,P
1,0,0,131.868861,1.299064,P
1,0,0,128.618861,1.225879,P
1,0,0,127.129861,1.270321,P
1,0,0,135.846861,1.366889,P
1,0,0,127.758861,1.362188,P
1,0,0,134.324861,1.301996,P
1,0,0,127.923861,1.327469,P
1,0,0,128.800861,1.242598,P
1,0,0,132.422861,1.236974,P
1,0,0,129.288861,1.255408,P
1,0,0,136.110861,1.272122,P
1,0,0,131.322861,1.262507,P
1,0,0,134.258861,1.277449,P
1,0,0,134.506861,1.362977,P
1,0,0,131.702861,1.337155,P
1,0,0,134.820861,1.249143,P
1,0,0,130.322861,1.258018,P
1,0,0,128.469861,1.304331,P
1,0,0,129.817861,1.296367,P
1,0,0,123.268861,1.175559,P
1,0,0,123.342861,1.343222,P
1,0,0,133.034861,1.250948,P
1,0,0,129.164861,1.234612,P
1,0,0,133.232861,1.369648,P
1,0,0,130.156861,1.287706,P
1,0,0,123.887861,1.288205,P
1,0,0,130.694861,1.343557,P
1,0,0,122.448861,1.21294,P
1,0,0,127.948861,1.317956,P
1,0,0,132.976861,1.302848,P
1,0,0,128.916861,1.219017,P
1,0,0,136.226861,1.329887,P
1,0,0,134.820861,1.276998,P
1,0,0,134.249861,1.285432,P
1,0,0,125.136861,1.298548,P
1,0,0,130.578861,1.268686,P
1,0,0,124.384861,1.364778,P
1,0,0,134.804861,1.292236,P
1,0,0,124.136861,1.263616,P
1,0,0,128.122861,1.238959,P
1,0,0,127.766861,1.232623,P
1,0,0,131.198861,1.287761,P
1,0,0,128.858861,1.270186,P
1,0,0,133.282861,1.291134,P
1,0,0,133.306861,1.30766,P
1,0,0,126.774861,1.342144,P
1,0,0,127.948861,1.32415,P
1,0,0,129.552861,1.320467,P
1,0,0,127.650861,1.269962,P
1,0,0,132.794861,1.300281,P
1,0,0,130.156861,1.428109,P
1,0,0,136.822861,1.269062,P
1,0,0,133.018861,1.294699,P
1,0,0,135.300861,1.306836,P
1,0,0,125.310861,1.283107,P
1,0,0,135.862861,1.340864,P
1,0,0,130.958861,1.348961,P
1,0,0,130.140861,1.293127,P
1,0,0,124.996861,1.21807,P
1,0,0,128.924861,1.201011,P
1,0,0,134.018861,1.345078,P
1,0,0,129.676861,1.273593,P
1,0,0,128.667861,1.272193,P
1,0,0,126.998861,1.26663,P
1,0,0,132.678861,1.326601,P
1,0,0,123.945861,1.239283,P
1,0,0,130.230861,1.317101,P
1,0,0,128.973861,1.311147,P
1,0,0,124.425861,1.276571,P
1,0,0,132.215861,1.26305,P
1,0,0,131.802861,1.30883,P
1,0,0,127.460861,1.292413,P
1,0,0,130.578861,1.217083,P
1,0,0,126.278861,1.210506,P
1,0,0,125.600861,1.164346,P
1,0,0,130.660861,1.359555,P
1,0,0,134.936861,1.264624,P
1,0,0,130.636861,1.216297,P
1,0,0,126.956861,1.275816,P
1,0,0,136.648861,1.27366,P
1,0,0,136.392861,1.386569,P
1,0,0,133.298861,1.354236,P
1,0,0,125.186861,1.196588,P
1,0,0,128.419861,1.334423,P
1,0,0,125.070861,1.273953,P
1,0,0,131.372861,1.358671,P
1,0,0,134.010861,1.270042,P
1,0,0,134.235861,1.360231,P
1,0,0,131.554861,1.294393,P
1,0,0,134.746861,1.322585,P
1,0,0,133.464861,1.296726,P
1,0,0,134.390861,1.279433,P
1,0,0,123.236861,1.365678,P
1,0,0,121.986861,1.303442,P
1,0,0,127.072861,1.18247,P
1,0,0,126.882861,1.22769,P
1,0,0,131.934861,1.251781,P
1,0,0,136.598861,1.327176,P
1,0,0,129.164861,1.263976,P
1,0,0,131.794861,1.22375,P
1,0,0,132.406861,1.290279,P
1,0,0,129.329861,1.306311,P
1,0,0,125.442861,1.298215,P
1,0,0,130.280861,1.298552,P
1,0,0,129.098861,1.276454,P
1,0,0,128.304861,1.245116,P
1,0,0,131.487861,1.367231,P
1,0,0,134.490861,1.295977,P
1,0,0,132.596861,1.316714,P
1,0,0,135.060861,1.252043,P
1,0,0,132.612861,1.274169,P
1,0,0,132.596861,1.374103,P
1,0,0,134.820861,1.367925,P
1,0,0,128.742861,1.292125,P
1,0,0,127.816861,1.461082,P
1,0,0,136.912861,1.412175,P
1,0,0,121.572861,1.248125,P
1,0,0,139.666861,1.463253,P
1,0,0,131.256861,1.26114,P
1,0,0,127.956861,1.289142,P
1,0,0,122.300861,1.258939,P
0,2,0,231.276861,2.38708,P
1,0,0,131.536861,1.355819,P
1,0,0,124.020861,1.221007,P
1,0,0,129.403861,1.310423,P
1,0,0,132.538861,1.274197,P
1,0,0,135.432861,1.26648,P
1,0,0,130.519861,1.368366,P
1,0,0,128.270861,1.23604,P
1,0,0,131.934861,1.356304,P
1,0,0,133.588861,1.38345,P
1,0,0,136.640861,1.302338,P
1,0,0,139.972861,1.313272,P
1,0,0,131.620861,1.278052,P
1,0,0,131.256861,1.236981,P
1,0,0,127.882861,1.327942,P
1,0,0,134.266861,1.271035,P
1,0,0,133.382861,1.272739,P
1,0,0,130.958861,1.279225,P
1,0,0,129.850861,1.299141,P
1,0,0,136.978861,1.30855,P
1,0,0,126.882861,1.226248,P
1,0,0,130.089861,1.332919,P
1,0,0,127.146861,1.21953,P
1,0,0,126.394861,1.26536,P
1,0,0,131.066861,1.246369,P
1,0,0,127.436861,1.193676,P
1,0,0,132.472861,1.327882,P
1,0,0,128.800861,1.283,P
1,0,0,137.880861,1.361614,P
0,2,0,218.300861,2.229401,P
1,0,0,135.978861,1.303489,P
1,0,0,126.998861,1.192205,P
1,0,0,126.186861,1.208926,P
1,0,0,129.891861,1.286668,P
1,0,0,129.362861,1.217773,P
1,0,0,135.738861,1.279935,P
1,0,0,136.086861,1.495439,P
1,0,0,121.656861,1.318004,P
1,0,0,144.016861,1.343802,P
1,0,0,129.048861,1.339143,P
1,0,0,130.512861,1.34887,P
1,0,0,137.822861,1.2931,P
1,0,0,128.146861,1.212417,P
1,0,0,127.873861,1.230064,P
1,0,0,135.043861,1.387344,P
1,0,0,122.904861,1.201994,P
1,0,0,128.354861,1.200291,P
1,0,0,126.782861,1.257423,P
1,0,0,132.414861,1.31166,P
1,0,0,125.170861,1.180945,P
1,0,0,131.620861,1.253776,P
1,0,0,135.176861,1.286184,P
1,0,0,128.502861,1.338924,P
1,0,0,128.799861,1.213826,P
0,2,0,209.418861,2.027482,P
1,0,0,127.138861,1.1922,P
1,0,0,133.464861,1.247392,P
1,0,0,134.258861,1.305215,P
1,0,0,126.939861,1.290469,P
1,0,0,133.076861,1.263331,P
1,0,0,130.082861,1.297389,P
1,0,0,132.124861,1.391938,P
1,0,0,131.488861,1.241247,P
1,0,0,131.562861,1.263348,P
1,0,0,125.219861,1.24423,P
0,2,0,136.194861,1.452134,N
0,2,0,136.806861,1.444288,N
0,2,0,130.084861,1.576239,N
0,3,1,144.026861,1.495583,N
0,3,1,141.470861,1.515987,N
0,2,0,126.560861,1.428086,N
0,2,0,153.222861,1.603066,N
0,2,0,145.646861,1.403479,N
0,3,1,146.382861,1.381846,N
0,2,0,130.578861,1.233348,N
0,3,1,141.222861,1.404113,N
0,3,1,146.556861,1.532271,N
0,3,1,145.464861,1.366312,N
0,3,1,139.238861,1.444885,N
0,2,0,138.534861,1.29265,N
0,2,0,130.512861,1.321653,N
0,2,0,128.024861,1.433186,N
0,2,0,137.616861,1.328427,N
0,2,0,130.570861,1.248051,N
0,2,0,128.536861,1.547521,N
0,2,0,136.102861,1.339141,N
0,2,0,129.288861,1.257645,N
0,2,0,137.170861,1.281326,N
0,3,1,133.960861,1.314075,N
0,2,0,140.172861,1.409521,N
0,2,0,137.608861,1.351495,N
0,2,0,139.204861,1.430091,N
0,2,0,134.126861,1.293981,N
0,3,1,141.942861,1.428227,N
0,2,0,132.406861,1.281139,N
0,2,0,137.616861,1.339452,N
0,3,1,143.380861,1.376832,N
0,2,0,132.092861,1.282635,N
0,3,1,133.332861,1.483292,N
0,2,0,126.740861,1.237281,N
0,4,4,155.074861,1.512981,N
0,4,2,136.185861,1.474322,N
0,3,1,137.724861,1.495394,N
0,2,0,142.388861,1.403554,N
0,2,0,127.278861,1.247775,N
0,3,1,140.312861,1.488617,N
0,2,0,122.854861,1.437803,N
0,3,1,142.686861,1.517025,N
0,2,0,144.149861,1.287839,N
0,2,0,136.086861,1.340616,N
0,3,1,153.908861,1.355455,N
0,3,1,135.160861,1.295648,N
0,2,0,141.528861,1.421352,N
0,2,0,130.859861,1.243694,N
0,2,0,132.216861,1.293065,N
0,2,0,132.720861,1.28569,N
0,2,0,130.139861,1.168549,N
0,2,0,138.906861,1.407563,N
0,2,0,130.067861,1.472378,N
0,2,0,133.994861,1.301875,N
0,2,0,146.598861,1.48455,N
0,3,1,139.584861,1.314732,N
0,3,1,136.078861,1.475338,N
0,3,1,128.776861,1.338133,N
0,2,0,133.208861,1.288899,N
0,2,0,145.448861,1.353467,N
0,3,1,144.976861,1.384161,N
0,2,0,136.499861,1.291446,N
0,3,1,139.658861,1.384271,N
0,3,1,138.037861,1.286606,N
0,3,1,142.826861,1.444492,N
0,2,0,138.030861,1.32854,N
0,3,1,135.615861,1.346694,N
0,3,1,150.354861,1.765731,N
0,2,0,137.748861,1.278342,N
0,3,1,136.583861,1.351292,N
0,3,1,136.293861,1.316427,N
0,2,0,145.058861,1.28951,N
0,3,1,129.990861,1.23125,N
0,3,1,135.482861,1.311673,N
0,2,0,135.300861,1.29178,N
0,3,1,136.318861,1.432133,N
0,2,0,146.233861,1.375825,N
0,3,1,131.174861,1.304211,N
0,3,1,135.202861,1.353539,N
0,2,0,135.474861,1.30016,N
0,2,0,148.756861,1.675862,N
0,3,1,142.496861,1.60662,N
0,2,0,137.682861,1.496046,N
0,3,1,140.081861,1.484068,N
0,2,0,137.170861,1.291275,N
0,3,1,130.818861,1.318817,N
0,2,0,132.472861,1.384071,N
0,3,1,139.584861,1.298194,N
0,3,1,136.616861,1.404436,N
0,2,0,140.188861,1.363674,N
0,3,1,132.604861,1.266766,N
0,2,0,139.692861,1.521276,N
1,2,2,124.004861,1.381671,N
0,2,0,137.542861,1.277814,N
0,3,1,143.976861,1.524258,N
0,3,1,137.599861,1.368942,N
0,2,0,142.711861,1.341198,N
0,2,0,139.419861,1.361058,N
0,2,0,143.628861,1.423621,N
0,3,1,140.568861,1.337488,N
0,2,0,139.261861,1.241062,N
0,3,1,146.589861,1.411742,N
0,2,0,132.580861,1.334876,N
0,3,1,157.316861,1.751471,N
0,3,1,138.269861,1.344208,N
0,3,1,135.136861,1.42566,N
0,2,0,138.626861,1.591197,N
0,2,0,139.948861,1.353317,N
0,3,1,137.228861,1.427897,N
0,3,1,133.720861,1.332009,N
0,3,1,127.469861,1.446466,N
0,2,0,129.024861,1.410364,N
0,3,1,141.610861,1.358262,N
0,3,1,135.664861,1.303493,N
0,2,0,144.472861,1.351759,N
0,3,1,142.528861,1.408378,N
0,2,0,133.795861,1.322084,N
0,3,1,135.292861,1.349351,N
0,2,0,125.534861,1.449347,N
0,2,0,132.770861,1.286175,N
0,2,0,137.723861,1.281582,N
0,3,1,144.398861,1.525507,N
0,3,0,139.394861,1.379951,N
0,3,1,135.689861,1.332648,N
0,2,0,143.876861,1.557583,N
0,2,0,134.597861,1.325947,N
0,3,5,150.543861,1.601697,N
0,2,0,141.710861,1.454872,N
0,3,1,139.676861,1.547861,N
0,2,0,136.152861,1.49052,N
0,2,0,140.990861,1.221036,N
0,2,0,138.642861,1.407615,N
0,2,0,136.988861,1.34054,N
0,2,0,128.122861,1.384995,N
0,2,0,141.024861,1.317326,N
0,3,1,142.686861,1.359963,N
0,3,1,143.165861,1.386056,N
0,2,0,134.424861,1.374619,N
0,3,1,143.828861,1.459323,N
0,2,0,132.290861,1.307212,N
0,2,0,130.363861,1.282674,N
0,2,0,140.130861,1.350325,N
0,2,0,133.290861,1.325249,N
0,2,0,128.818861,1.478618,N
0,2,0,130.040861,1.292936,N
0,3,1,131.744861,1.312326,N
0,2,0,130.092861,1.415676,N
0,2,0,146.696861,1.416077,N
0,3,1,132.382861,1.289276,N
0,2,0,134.350861,1.28271,N
0,2,0,129.263861,1.261157,N
0,2,0,136.094861,1.288339,N
0,3,1,145.266861,1.460744,N
0,3,1,141.876861,1.491559,N
0,2,0,131.290861,1.252061,N
0,2,0,137.062861,1.337247,N
0,3,1,132.976861,1.283637,N
0,2,0,127.552861,1.281806,N
0,3,1,134.010861,1.342451,N
0,2,0,129.058861,1.391034,N
0,3,1,156.034861,1.526002,N
0,3,1,143.034861,1.351755,N
0,2,0,130.347861,1.236025,N
0,2,0,144.448861,1.353771,N
0,3,1,147.640861,1.684927,N
0,2,0,133.381861,1.290572,N
0,2,0,133.928861,1.257261,N
0,3,1,152.246861,1.536802,N
0,2,0,144.580861,1.346122,N
0,2,0,160.790861,1.728012,N
0,2,0,163.220861,1.700665,N
0,2,0,133.754861,1.288134,N
0,3,1,145.200861,1.497661,N
0,2,0,139.056861,1.361597,N
0,2,0,131.545861,1.280362,N
0,3,1,136.574861,1.35959,N
0,3,1,135.060861,1.303754,N
0,2,0,135.978861,1.217897,N
0,2,0,123.342861,1.438571,N
0,2,0,132.869861,1.272218,N
0,2,0,140.610861,1.333344,N
0,2,0,136.822861,1.273891,N
0,2,0,131.397861,1.243176,N
0,3,1,142.272861,1.383946,N
0,2,0,134.606861,1.316439,N
0,3,1,142.082861,1.31785,N
0,2,0,136.144861,1.462082,N
0,3,1,136.665861,1.334972,N
0,2,0,136.872861,1.3386,N
0,2,0,152.470861,1.531241,N
0,2,0,137.798861,1.401772,N
0,2,0,133.862861,1.285434,N
0,2,0,133.315861,1.264884,N
0,2,0,134.837861,1.260916,N
0,2,0,130.818861,1.329903,N
0,3,1,135.507861,1.441723,N
0,2,0,135.152861,1.404386,N
0,2,0,137.600861,1.497378,N
0,3,1,148.400861,1.456604,N
0,2,0,180.084861,2.065354,N
0,2,0,194.706861,2.077484,N
0,2,0,197.734861,2.16143,N
0,2,0,184.724861,1.746729,N
0,2,0,186.130861,1.939374,N
0,2,0,183.450861,1.924623,N
0,2,0,194.020861,2.055514,N
0,2,0,171.368861,1.938348,N
0,2,0,165.546861,1.697337,N
0,2,0,212.356861,2.405833,N
0,2,0,189.910861,1.961442,N
0,2,0,157.886861,1.756449,N
0,2,0,161.766861,1.728495,N
0,3,1,177.024861,1.870185,N
0,2,0,187.114861,1.92869,N
0,2,0,223.296861,2.55883,N
0,3,1,192.646861,2.01692,N
0,2,0,189.504861,2.145209,N
0,2,0,188.312861,2.106427,N
0,2,0,183.070861,2.094414,N
0,2,0,194.706861,2.025968,N
0,2,0,204.382861,2.123762,N
0,3,1,206.194861,2.065553,N
0,2,0,166.214861,1.922235,N
0,2,0,197.262861,2.08986,N
0,2,0,188.256861,1.998681,N
0,3,1,184.492861,2.024295,N
0,2,0,168.836861,1.912786,N
0,2,0,197.874861,2.053352,N
0,2,0,187.750861,2.058486,N
0,2,0,193.260861,2.026141,N
0,2,0,200.942861,2.111057,N
0,2,0,194.864861,1.999253,N
0,2,0,189.100861,2.095565,N
0,2,0,207.822861,2.172815,N
0,2,0,187.014861,1.952584,N
0,2,0,191.150861,1.978231,N
0,2,0,188.520861,1.943182,N
0,2,0,196.550861,1.954214,N
0,2,0,182.714861,1.994255,N
0,2,0,174.974861,2.063824,N
0,2,0,195.880861,2.039572,N
0,2,0,190.564861,2.123288,N
0,2,0,193.068861,1.957658,N
0,3,1,152.494861,1.713878,N
0,2,0,197.130861,1.967326,N
0,2,0,169.382861,1.925193,N
0,2,0,204.366861,2.113582,N
0,2,0,180.324861,1.898403,N
0,2,0,190.992861,1.985973,N
0,2,0,189.372861,1.886365,N
0,2,0,162.403861,1.616716,N
0,2,0,195.236861,2.127745,N
0,2,0,189.346861,2.169786,N
0,2,0,171.400861,2.004225,N
0,2,0,202.538861,2.360232,N
0,2,0,181.648861,2.107822,N
0,2,0,175.800861,1.841819,N
0,2,0,204.515861,2.113703,N
0,2,0,190.885861,1.993,N
0,2,0,195.020861,2.041775,N
0,2,0,183.384861,2.062686,N
0,3,0,185.286861,1.946579,N
0,2,0,144.630861,1.526887,N
0,2,0,175.692861,1.965263,N
0,2,0,164.262861,1.924068,N
0,2,0,187.900861,2.160357,N
1,1,1,153.478861,1.588361,N
0,2,0,178.330861,1.894641,N
0,2,0,176.272861,1.640298,N
0,2,0,194.690861,2.005442,N
0,2,0,193.052861,2.0823,N
0,2,0,200.768861,2.066672,N
0,2,0,200.612861,2.192889,N
0,2,0,206.318861,2.225389,N
0,2,0,163.849861,1.784349,N
