region.centroid.col,region.centroid.row,short.line.density.5,vedge.mean,vegde.sd,hedge.mean,hedge.sd,intensity.mean,exred.mean,exblue.mean,exgreen.mean,saturation.mean,hue.mean,binaryClass
218,178,0.111111,0.833333,0.547722,1.11111,0.544331,59.6296,-21.5556,46.7778,-25.2222,0.318996,-2.04055,N
113,130,0.0,0.277778,0.250924,0.333333,0.365148,0.888889,-2.66667,5.0,-2.33333,1.0,-2.12325,N
202,41,0.0,0.944448,0.772202,1.11111,1.0256,123.037,-33.4444,50.2222,-16.7778,0.199347,-2.29992,N
32,173,0.0,1.72222,1.78159,9.0,6.74949,43.5926,-12.1111,27.8889,-15.7778,0.266914,-1.99886,N
61,197,0.0,1.44444,1.51535,2.61111,1.92546,49.5926,-16.1111,35.8889,-19.7778,0.302925,-2.02227,N
149,185,0.0,1.55556,1.06805,3.05556,1.92546,49.3333,-12.0,30.6667,-18.6667,0.275889,-1.95277,N
197,229,0.0,1.38889,1.57407,1.16667,0.566666,17.7407,-10.8889,0.444444,10.4444,0.335717,2.6516,N
29,111,0.0,0.388889,0.240741,0.611111,0.151852,5.40741,4.44444,2.77778,-7.22222,0.564153,-0.897859,P
1,81,0.0,12.1667,267.456,9.22222,205.363,21.3333,-22.0,27.6667,-5.66667,0.595282,-2.43841,N
69,85,0.111111,3.11111,8.20741,3.94444,9.44074,21.4444,-3.0,20.0,-17.0,0.437404,-1.65988,P
152,83,0.0,4.44444,1.32777,0.944444,0.680414,26.5185,-9.55556,20.1111,-10.5556,0.307415,-2.06324,N
248,153,0.0,0.277778,0.062963,0.111111,0.02963,0.37037,-1.11111,2.22222,-1.11111,0.888889,-2.0944,N
137,141,0.0,0.055556,0.136083,0.055556,0.136083,0.037037,-0.111111,0.222222,-0.111111,0.111111,-2.0944,N
86,197,0.111111,1.61111,1.45169,1.27778,1.10386,63.2222,-21.0,43.6667,-22.6667,0.285333,-2.06802,N
220,220,0.111111,2.27778,1.12963,2.27778,4.15185,6.44444,-2.33333,-3.33333,5.66667,0.427354,1.98437,N
207,115,0.0,1.05556,0.32963,0.166667,0.033333,1.22222,-2.33333,5.0,-2.66667,0.933333,-2.06554,N
6,51,0.0,1.66667,2.0,1.61111,2.10741,19.5926,-2.44444,18.2222,-15.7778,0.442861,-1.68129,P
203,182,0.0,3.72222,2.57696,3.61111,1.70511,54.9259,-16.4444,39.5556,-23.1111,0.306722,-1.98035,N
243,120,0.0,4.44444,4.35975,1.55555,1.83384,47.8519,-9.22222,25.4444,-16.2222,0.245321,-1.91073,N
146,97,0.0,10.1111,4.5979,0.611111,0.574133,47.963,-5.88889,19.1111,-13.2222,0.197115,-1.84074,N
184,145,0.0,0.722222,0.611616,0.222222,0.272166,0.555556,-0.666667,2.0,-1.33333,0.527778,-1.92094,N
178,128,0.0,0.444444,0.340741,0.888889,0.207407,5.92593,5.88889,1.55556,-7.44444,0.563713,-0.7213,P
132,134,0.0,2.66667,3.15556,1.5,1.54444,6.18518,-11.8889,15.7778,-3.88889,0.833935,-2.38661,N
83,28,0.0,0.388889,0.136081,0.888887,0.455421,112.963,-40.5556,54.4444,-13.8889,0.241511,-2.38788,N
126,237,0.0,0.944444,0.240741,1.0,0.488889,5.77778,-4.66667,-4.66667,9.33333,0.553812,2.09723,N
225,58,0.0,0.333334,0.421637,0.444445,0.344265,8.33333,-8.33333,17.3333,-9.0,0.622222,-2.06856,N
14,120,0.0,0.333333,0.133333,0.444444,0.296296,1.59259,-4.77778,6.88889,-2.11111,1.0,-2.31572,N
5,210,0.0,2.16667,1.67,4.44444,2.61336,51.2963,-17.5556,39.1111,-21.5556,0.317566,-2.0209,N
79,62,0.0,0.555556,0.385184,0.888887,0.607405,110.185,-28.5556,50.7778,-22.2222,0.208013,-2.17815,N
18,83,0.0,6.16667,9.98889,12.8889,28.7852,14.3704,-16.1111,24.8889,-8.77778,0.664785,-2.27421,N
214,246,0.0,2.83333,1.91775,3.0,1.98886,17.5185,-9.88889,-6.22222,16.1111,0.391548,2.23285,N
94,140,0.0,0.166667,0.033333,0.333333,0.044444,3.03704,-3.77778,9.22222,-5.44444,0.797884,-1.98577,N
54,142,0.0,0.722222,0.827759,2.0,2.10818,1.81481,-2.77778,5.55556,-2.77778,0.769444,-2.0944,N
107,146,0.0,1.88889,1.00741,2.11111,1.31852,21.3704,-13.7778,24.8889,-11.1111,0.432786,-2.16497,N
93,236,0.111111,1.77778,2.6963,2.0,0.933333,12.5185,-8.88889,-5.22222,14.1111,0.447247,2.2672,N
245,249,0.0,2.0,1.28889,1.5,0.611111,14.7407,-11.8889,1.77778,10.1111,0.406212,2.74356,N
48,173,0.0,1.16667,1.06979,1.44444,1.64204,19.2222,-8.33333,-8.33333,16.6667,0.349656,2.09956,N
239,122,0.0,0.277778,0.062963,0.333333,0.177778,5.55556,4.33333,3.33333,-7.66667,0.581349,-0.953435,P
184,145,0.0,0.944445,0.490654,1.77778,0.934919,3.40741,-3.22222,7.11111,-3.88889,0.656614,-2.03651,N
109,146,0.0,0.055556,0.136083,0.055556,0.136083,0.037037,-0.111111,0.222222,-0.111111,0.111111,-2.0944,N
111,246,0.0,3.16667,2.09497,5.83333,4.11366,25.8889,-14.3333,-10.3333,24.6667,0.388973,2.21401,N
155,40,0.0,1.88889,2.07275,0.055556,0.136083,1.25926,-0.111111,0.888889,-0.777778,0.116667,-1.5708,N
192,157,0.0,1.05556,0.507408,0.777778,0.162963,18.3333,-13.3333,-3.33333,16.6667,0.418184,2.43862,N
209,249,0.0,2.44444,3.62963,2.77778,4.20741,10.5185,-8.88889,-7.22222,16.1111,0.533307,2.15678,N
118,125,0.0,0.333333,0.298142,0.888889,0.344265,1.14815,-3.44444,5.88889,-2.44444,1.0,-2.17565,N
43,152,0.0,1.94444,1.70741,1.22222,0.82963,1.51852,-1.55556,4.11111,-2.55556,0.648677,-1.93324,N
247,92,0.0,0.888889,0.518518,0.444444,0.118519,12.0741,-13.5556,25.4444,-11.8889,0.632127,-2.13785,N
63,201,0.0,2.11111,1.73419,2.5,1.65664,61.6296,-20.2222,44.4444,-24.2222,0.299213,-2.03412,N
33,117,0.0,0.277778,0.018519,0.111111,0.02963,1.07407,-3.22222,6.11111,-2.88889,1.0,-2.13264,N
118,85,0.0,3.27778,4.41852,2.27778,6.81852,8.18519,-13.8889,20.1111,-6.22222,0.774121,-2.32909,N
121,60,0.0,2.27778,2.32963,2.88889,2.87407,26.7407,-6.22222,25.4444,-19.2222,0.4223,-1.77611,P
218,115,0.0,0.944444,0.534027,0.388889,0.389682,22.963,-10.5556,19.4444,-8.88889,0.339149,-2.14867,N
209,11,0.0,0.833333,0.255559,2.16667,3.85555,141.556,-19.3333,25.6667,-6.33333,0.099836,-2.40159,N
55,209,0.111111,1.83333,1.29529,1.38889,0.998146,12.5185,-6.55556,-6.55556,13.1111,0.407904,2.09922,N
50,199,0.0,3.22222,2.97894,5.61111,4.61599,55.6667,-19.6667,42.3333,-22.6667,0.312414,-2.04543,N
160,41,0.0,0.833333,0.809664,0.222222,0.172133,0.703704,-0.444444,1.55556,-1.11111,0.537037,-1.84512,N
142,140,0.0,4.22222,1.29386,1.5,0.722649,26.4444,-9.0,17.6667,-8.66667,0.2851,-2.10049,N
9,94,0.0,0.611111,0.551852,1.0,0.666664,113.185,-18.8889,43.1111,-24.2222,0.176789,-2.01531,N
108,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
56,107,0.0,1.11111,0.207407,4.72222,20.1963,49.8148,-10.7778,25.5556,-14.7778,0.230455,-1.99144,N
54,176,0.0,2.11111,0.688531,2.66667,2.69155,50.6667,-14.0,36.0,-22.0,0.308573,-1.95141,N
41,103,0.0,2.44445,3.0963,1.77778,1.49629,61.2593,-15.7778,36.5556,-20.7778,0.259607,-2.00292,N
67,136,0.0,6.72222,3.70835,2.66667,3.19722,15.5185,-19.5556,29.4444,-9.88889,0.660813,-2.30751,N
249,58,0.0,1.33333,0.942809,0.277778,0.327731,8.85185,-8.55556,17.1111,-8.55556,0.607768,-2.08534,N
90,101,0.111111,0.888889,0.385185,1.72222,1.88519,20.0741,0.777778,14.7778,-15.5556,0.404038,-1.52012,P
180,224,0.0,3.72222,3.70741,3.61111,5.61852,15.1852,-10.5556,-5.55556,16.1111,0.443375,2.29826,N
96,13,0.0,0.833331,0.47778,0.555557,0.207406,131.778,-29.0,39.0,-10.0,0.156568,-2.38625,N
112,90,0.0,7.38889,6.94556,1.27778,0.879814,65.1852,-22.5556,43.7778,-21.2222,0.278345,-2.10881,N
215,182,0.0,2.55556,1.4707,2.72222,1.98233,54.1852,-16.8889,39.1111,-22.2222,0.30405,-2.00408,N
225,58,0.0,0.333334,0.421637,0.444445,0.344265,8.33333,-8.33333,17.3333,-9.0,0.622222,-2.06856,N
88,89,0.0,0.777777,0.385185,3.66667,4.04444,22.3333,-2.0,18.3333,-16.3333,0.403687,-1.62559,P
91,120,0.0,1.38889,0.928958,0.611111,0.772202,16.8519,-16.8889,26.7778,-9.88889,0.562158,-2.23082,N
57,42,0.0,2.33333,0.869226,0.999999,0.699206,37.4444,-14.0,31.0,-17.0,0.334662,-2.02955,N
211,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
37,120,0.0,0.833333,0.344444,1.05556,0.462963,1.92593,-5.11111,7.55556,-2.44444,0.962963,-2.29808,N
54,140,0.111111,0.722222,0.443053,1.77778,1.04704,8.33333,-13.6667,17.0,-3.33333,0.73447,-2.44232,N
