value,ci,ds_complete,technique,ds
0.0,"(0.0, 0.004697241787059652)",ds8_transf2_qi4.csv,PPT,ds8
0.0829620186910686,"(0.05947741720270691, 0.10644662017943046)",ds33_transf0_qi4.csv,PPT,ds33
0.3623174114315984,"(0.27912909993086954, 0.44550572293232726)",ds2_transf2_qi4.csv,PPT,ds2
0.0761432226342685,"(0.05312773119306108, 0.09915871407547594)",ds33_transf2_qi4.csv,PPT,ds33
0.3028324632861121,"(0.21966320149472782, 0.3860017250774964)",ds2_transf0_qi4.csv,PPT,ds2
0.9944151973228244,"(0.988825812135171, 1.0)",ds4_transf0_qi3.csv,PPT,ds4
0.9942821944518916,"(0.988558934487948, 1.0)",ds4_transf0_qi1.csv,PPT,ds4
0.1383562105233528,"(0.056743952392278627, 0.21996846865442704)",ds59_transf0_qi0.csv,PPT,ds59
0.0087925483528424,"(0.0, 0.01767983506774482)",ds68_transf0_qi1.csv,PPT,ds68
0.9990249712175364,"(0.998049930528853, 1.0)",ds50_transf0_qi0.csv,PPT,ds50
0.9944952270001473,"(0.9889863791216986, 1.0)",ds4_transf1_qi4.csv,PPT,ds4
0.9990249712175364,"(0.998049930528853, 1.0)",ds50_transf2_qi0.csv,PPT,ds50
0.0,"(0.0, 0.0032690502061361484)",ds8_transf0_qi0.csv,PPT,ds8
0.3888055419657684,"(0.36997445842450943, 0.40763662550702745)",ds55_transf0_qi3.csv,PPT,ds55
0.0,"(0.0, 0.0045429459929252755)",ds56_transf0_qi2.csv,PPT,ds56
0.0,"(0.0, 0.0032690502061361484)",ds8_transf1_qi3.csv,PPT,ds8
0.0577216386431472,"(0.0, 0.17101433561911106)",ds2_transf1_qi0.csv,PPT,ds2
0.0072022334622359,"(0.0, 0.023612391721066578)",ds37_transf0_qi3.csv,PPT,ds37
0.0,"(0.0, 0.0032690502061361484)",ds8_transf2_qi2.csv,PPT,ds8
0.0,"(0.0, 0.001945634935243728)",ds55_transf2_qi1.csv,PPT,ds55
0.1015432725763767,"(0.03476043523544836, 0.16832610991730512)",ds24_transf2_qi4.csv,PPT,ds24
0.1143056287353637,"(0.06668963780648189, 0.16192161966424556)",ds24_transf2_qi3.csv,PPT,ds24
0.2906315001697775,"(0.1993011548349542, 0.38196184550460094)",ds59_transf2_qi3.csv,PPT,ds59
0.248494760301796,"(0.13640546512974588, 0.36058405547384614)",ds2_transf0_qi3.csv,PPT,ds2
0.0012962095759226,"(0.0, 0.006022816036891155)",ds55_transf0_qi4.csv,PPT,ds55
0.0016103470702614,"(0.0, 0.004350840095368509)",ds55_transf0_qi1.csv,PPT,ds55
0.0377108889033518,"(0.027125001095054398, 0.04829677671164923)",ds51_transf0_qi1.csv,PPT,ds51
0.0,"(0.0, 0.009640274124011552)",ds38_transf1_qi2.csv,PPT,ds38
0.0055933371220713,"(0.0, 0.01766210249658924)",ds33_transf0_qi1.csv,PPT,ds33
0.9949840025289184,"(0.9899667529959945, 1.0)",ds14_transf2_qi0.csv,PPT,ds14
0.156456883551727,"(0.05763186760821726, 0.2552818994952369)",ds10_transf1_qi3.csv,PPT,ds10
0.1516093382709629,"(0.1318715320898575, 0.1713471444520683)",ds51_transf1_qi2.csv,PPT,ds51
0.0011224343165321,"(0.0, 0.013635651616081866)",ds33_transf0_qi2.csv,PPT,ds33
0.0,"(0.0, 0.0045429459929252755)",ds56_transf0_qi0.csv,PPT,ds56
0.9942821944518916,"(0.988558934487948, 1.0)",ds4_transf2_qi1.csv,PPT,ds4
