file,elapsed_time,cpu_percent,gpu_percent,ram_percent,gpu_temperature,technique
ds10_0.1-privateSMOTE3_QI0_knn1_per1,6.355916023254394,34.68333333333333,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn1_per2,7.37445592880249,31.1,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn1_per3,7.398160696029663,32.58571428571429,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn3_per1,6.316151857376099,34.46666666666667,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn3_per2,6.317535638809204,35.53333333333333,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn3_per3,7.389679193496704,31.285714285714285,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn5_per1,6.341708183288574,34.833333333333336,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn5_per2,7.38169527053833,32.214285714285715,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI0_knn5_per3,7.404523611068726,33.82857142857143,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn1_per1,6.332751989364624,33.35,0.0,1.8,25.833333333333332,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn1_per2,7.384120225906372,32.8,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn1_per3,7.388227701187134,33.114285714285714,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn3_per1,6.29619288444519,32.0,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn3_per2,7.393066644668579,34.72857142857143,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn3_per3,7.36888313293457,32.885714285714286,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn5_per1,6.34596061706543,36.81666666666667,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn5_per2,7.3906214237213135,33.17142857142857,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI1_knn5_per3,7.3543860912323,33.08571428571428,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn1_per1,5.268892526626587,31.78,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn1_per2,5.292467832565308,34.480000000000004,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn1_per3,6.329376220703125,29.483333333333334,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn3_per1,5.26278018951416,30.22,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn3_per2,5.280352354049683,31.439999999999998,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.1-privateSMOTE3_QI2_knn3_per3,6.318390130996704,29.75,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
