ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds8_transf2_qi4.csv,V3,0.999620687953644,0.9996840784706346,1.0,0.9996412727786134,1.0,1.0,
ds8_transf2_qi4.csv,V4,0.999620687953644,0.9998146985699446,1.0,0.9992048227037881,1.0,0.9195519348268839,
ds8_transf2_qi4.csv,V5,0.999620687953644,0.9972748770217125,1.0,0.9964622023810188,1.0,1.0,
ds8_transf2_qi4.csv,V7,0.999620687953644,,,,0.0,,
ds8_transf2_qi4.csv,V8,0.999620687953644,0.9987775937143025,1.0,0.9987364938990998,1.0,1.0,
ds8_transf2_qi4.csv,V9,0.999620687953644,,,,0.0,,
ds8_transf2_qi4.csv,V13,0.999620687953644,0.995704935250985,1.0,0.9951512227775968,1.0,1.0,
ds8_transf2_qi4.csv,V15,0.999620687953644,0.9996333331834367,1.0,0.9995724877273172,1.0,1.0,
ds8_transf2_qi4.csv,V16,0.999620687953644,0.9970857746938061,1.0,0.9989177542145362,1.0,1.0,
ds8_transf2_qi4.csv,V17,0.999620687953644,0.999268736501386,1.0,0.9987225911835332,1.0,1.0,
ds8_transf2_qi4.csv,V19,0.999620687953644,0.9962920100414645,1.0,0.9979388747214393,1.0,1.0,
ds8_transf2_qi4.csv,V22,0.999620687953644,0.9998648230861238,1.0,0.9998529415377798,1.0,1.0,
ds8_transf2_qi4.csv,V24,0.999620687953644,0.9996492667815234,1.0,0.9994919262348337,1.0,1.0,
ds8_transf2_qi4.csv,V25,0.999620687953644,0.8839295507031406,0.9617283950617284,0.9988191998882382,0.9978902953586498,0.7296296296296296,
ds8_transf2_qi4.csv,V27,0.999620687953644,0.9943730065947438,1.0,0.9979091106972655,1.0,1.0,
ds8_transf2_qi4.csv,V28,0.999620687953644,0.9987858787509595,1.0,0.9979708668723366,1.0,1.0,
ds8_transf2_qi4.csv,V30,0.999620687953644,0.9986908188566853,1.0,0.9986388209729162,1.0,1.0,
ds8_transf2_qi4.csv,V31,0.999620687953644,0.9960926604313771,1.0,0.9992950183292675,1.0,1.0,
ds8_transf2_qi4.csv,V33,0.999620687953644,,,,0.0,,
ds8_transf2_qi4.csv,V40,0.999620687953644,0.9989216284732789,1.0,0.9984941102754857,1.0,1.0,
ds8_transf2_qi4.csv,V41,0.999620687953644,0.9967168725352924,1.0,0.9982676393403955,1.0,1.0,
ds8_transf2_qi4.csv,V42,0.999620687953644,,,,0.0,,
ds8_transf2_qi4.csv,V44,0.999620687953644,0.9938560639128078,1.0,0.9995327410620558,1.0,1.0,
ds8_transf2_qi4.csv,V45,0.999620687953644,0.9977609325055855,1.0,0.9962979697196193,1.0,1.0,
ds8_transf2_qi4.csv,V46,0.999620687953644,,,,0.0,,
ds8_transf2_qi4.csv,class,0.999620687953644,0.9981014911176412,1.0,0.9989001728539306,1.0,1.0,
ds33_transf0_qi4.csv,V1,0.9997278258974671,0.9992772447877765,1.0,0.9996264942696584,1.0,1.0,
ds33_transf0_qi4.csv,V6,0.9997278258974671,0.9998452456661969,0.9999865773613777,0.9995327356840644,1.0,1.0,
ds33_transf0_qi4.csv,V10,0.9997278258974671,0.9841815663499562,1.0,0.9989082859756946,0.9643350843240255,0.9666666666666667,
ds33_transf0_qi4.csv,V12,0.9997278258974671,0.9608823655325418,0.9387619993379676,0.984453910241628,0.4346143212607133,0.5283018867924528,
ds33_transf0_qi4.csv,V13,0.9997278258974671,0.9996188140699216,1.0,0.9985411908084485,1.0,1.0,
ds33_transf0_qi4.csv,V15,0.9997278258974671,0.9996626097228081,1.0,0.9997431669301855,1.0,1.0,
ds33_transf0_qi4.csv,Class,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,
ds33_transf0_qi4.csv,V2,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V3,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V4,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V7,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V8,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V9,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V11,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds33_transf0_qi4.csv,V16,0.9997278258974671,0.9996746054736605,1.0,0.9995994324088839,1.0,1.0,0.0
ds2_transf2_qi4.csv,a,0.8852570830711514,0.943078784459566,0.948051948051948,0.9591465058539277,0.925748502994012,0.38961038961038963,
ds2_transf2_qi4.csv,b,0.8852570830711514,0.9799480489458009,0.9880952380952381,0.9693630658322361,0.02155688622754491,0.13435374149659862,
ds2_transf2_qi4.csv,c,0.8852570830711514,0.9980974771454215,1.0,0.9976280596051621,1.0,1.0,
ds2_transf2_qi4.csv,d,0.8852570830711514,0.9978678719810071,1.0,0.9946303853386004,1.0,1.0,
ds2_transf2_qi4.csv,e,0.8852570830711514,0.9981436639958522,1.0,0.9936950297218896,1.0,1.0,
ds2_transf2_qi4.csv,h,0.8852570830711514,0.9989861401533393,1.0,0.9971495347703844,1.0,0.8048780487804879,
ds2_transf2_qi4.csv,j,0.8852570830711514,0.9714626028425609,1.0,0.9752043673923841,0.925748502994012,0.7490636704119851,
ds2_transf2_qi4.csv,k,0.8852570830711514,0.9542846476044945,0.9714285714285714,0.9588556116437629,0.026347305389221556,0.27142857142857146,
ds2_transf2_qi4.csv,l,0.8852570830711514,0.999203139497513,0.979591836734694,0.9975250497219589,1.0,1.0,
ds2_transf2_qi4.csv,n,0.8852570830711514,0.9990523101531316,1.0,0.9960012018684556,1.0,0.5942028985507246,
ds2_transf2_qi4.csv,o,0.8852570830711514,0.9943531613666245,1.0,0.9965361919561677,1.0,1.0,
ds2_transf2_qi4.csv,p,0.8852570830711514,0.9680639344025936,0.9791921664626683,0.9594587638774655,0.925748502994012,0.2447980416156671,
ds2_transf2_qi4.csv,r,0.8852570830711514,0.999444912394086,1.0,0.9990575147847324,1.0,1.0,
ds2_transf2_qi4.csv,s,0.8852570830711514,0.998658290991209,0.9996929990724653,0.9941529621811263,1.0,1.0,
ds2_transf2_qi4.csv,t,0.8852570830711514,0.9965697953331507,0.9964268535697107,0.9945167619185685,1.0,1.0,
ds2_transf2_qi4.csv,u,0.8852570830711514,0.9995248471167826,0.9999740005326734,0.9962433589005609,1.0,0.9999984346835344,
ds2_transf2_qi4.csv,v,0.8852570830711514,0.9990900314942209,0.9996767937944409,0.9955999947051717,1.0,1.0,
ds2_transf2_qi4.csv,aa,0.8852570830711514,0.9980672931242413,1.0,0.9992111210452048,1.0,1.0,
ds2_transf2_qi4.csv,ad,0.8852570830711514,0.9977506157388004,1.0,0.996903110771151,1.0,1.0,
ds2_transf2_qi4.csv,ah,0.8852570830711514,0.9994276674996918,1.0,0.9953316120669172,1.0,1.0,
ds2_transf2_qi4.csv,ak,0.8852570830711514,0.9985544212245429,1.0,0.9946144120268281,1.0,1.0,
ds2_transf2_qi4.csv,al,0.8852570830711514,0.9969660391584999,1.0,0.9977937990251016,1.0,1.0,
ds2_transf2_qi4.csv,am,0.8852570830711514,0.9981721790241573,1.0,0.995043485293317,1.0,1.0,
ds2_transf2_qi4.csv,an,0.8852570830711514,0.9660815707962083,0.9113263785394933,0.9856509819431916,0.925748502994012,0.9580583351075155,
ds2_transf2_qi4.csv,def,0.8852570830711514,0.9660815707962083,0.9113263785394933,0.9856509819431916,0.925748502994012,0.9580583351075155,0.0
ds33_transf2_qi4.csv,V1,0.9916544548277177,0.9998667811276096,1.0,0.999654736821597,1.0,1.0,
ds33_transf2_qi4.csv,V6,0.9916544548277177,0.9999041798447871,0.9999463094455108,0.999799450751159,1.0,1.0,
