ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds32_pategan_epo100_bs100_epi5.0.csv,age,0.9779281160458282,0.9481557242941616,0.9452054794520548,0.9871778045719933,1.0,1.0,
ds32_pategan_epo100_bs100_epi5.0.csv,fnlwgt,0.9779281160458282,0.9734591807144121,0.9701025668333456,0.9992098260805558,1.0,1.0,
ds32_pategan_epo100_bs100_epi5.0.csv,educationNum,0.9779281160458282,0.9859643593566471,1.0,0.9983890871581526,1.0,0.8,
ds32_pategan_epo100_bs100_epi5.0.csv,hoursPerWeek,0.9779281160458282,0.9886108494390893,1.0,0.9939565218770179,1.0,0.9896907216494846,
ds32_pategan_epo100_bs100_epi5.0.csv,label,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,
ds32_pategan_epo100_bs100_epi5.0.csv,workclass,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,0.8571428571428571
ds32_pategan_epo100_bs100_epi5.0.csv,education,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,0.8125
ds32_pategan_epo100_bs100_epi5.0.csv,maritalStatus,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,1.0
ds32_pategan_epo100_bs100_epi5.0.csv,occupation,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,1.0
ds32_pategan_epo100_bs100_epi5.0.csv,relationship,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,1.0
ds32_pategan_epo100_bs100_epi5.0.csv,race,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,1.0
ds32_pategan_epo100_bs100_epi5.0.csv,sex,0.9779281160458282,0.9878207545520612,1.0,0.9931019837128949,1.0,1.0,1.0
ds68_dpgan_epo200_bs50_epi5.0.csv,input1,0.8084869724972462,0.5497909094016398,0.31999999999999995,0.9473842343008884,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input2,0.8084869724972462,0.5793431338324826,0.49,0.792038616503395,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input3,0.8084869724972462,0.8827744396735369,0.76,0.8773743579373707,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input5,0.8084869724972462,0.5751686284382729,0.47,0.8726860849378862,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input6,0.8084869724972462,0.40155079684143513,0.29000000000000004,0.9415944064945511,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input7,0.8084869724972462,0.8158277099163482,0.5349999999999999,0.8859101236401378,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input8,0.8084869724972462,0.8027357293612589,0.63,0.9179744760178524,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input9,0.8084869724972462,0.6018490477412978,0.4,0.9641117945495042,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input10,0.8084869724972462,0.7705273159150791,0.6699999999999999,0.9609402682991434,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input11,0.8084869724972462,0.7560643546165359,0.31000000000000005,0.951217950962381,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input12,0.8084869724972462,0.828306038894787,0.94,0.9149109330532079,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input13,0.8084869724972462,0.9832135445581363,0.6799999999999999,0.8105650917227274,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input14,0.8084869724972462,0.7094671080487258,0.47,0.9911857835779537,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input15,0.8084869724972462,0.9139730327578781,0.96,0.7901311640609907,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,input16,0.8084869724972462,0.7922322741223257,0.91,0.8664228166977164,1.0,1.0,
ds68_dpgan_epo200_bs50_epi5.0.csv,binaryClass,0.8084869724972462,0.7922322741223257,0.91,0.8664228166977164,1.0,1.0,1.0
ds2_dpgan_epo100_bs100_epi0.1.csv,a,,0.9416735703425986,0.8961038961038961,0.9522585978484128,1.0,0.4155844155844156,
ds2_dpgan_epo100_bs100_epi0.1.csv,b,,0.9919061147862961,0.9829931972789115,0.993873824273243,1.0,0.9829931972789115,
ds2_dpgan_epo100_bs100_epi0.1.csv,c,,0.9932198881240395,1.0,0.9832201673246718,1.0,0.5416666666666667,
ds2_dpgan_epo100_bs100_epi0.1.csv,d,,0.7144632526482442,0.6666666666666667,0.9663192902102499,1.0,0.6904761904761905,
ds2_dpgan_epo100_bs100_epi0.1.csv,e,,0.9295547852594832,1.0,0.8672761485173646,1.0,0.0,
ds2_dpgan_epo100_bs100_epi0.1.csv,h,,0.5789575416264998,0.5491166523428441,0.980879804889361,1.0,0.8398558321887966,
